"batsman","pacespin","format","batting_team","year","matches","runs","balls","wickets","fours","sixes","sr","bpw","nbsr"
"I Master","ALL","T20","ALL",9999,6,58,65,4,5,0,89.2,16.2,63.3
"I Medhi","ALL","T20","ALL",9999,1,0,3,1,0,0,0,3,0
"I Pandey","ALL","T20","ALL",9999,4,33,50,4,5,0,66,12.5,28.9
"I Sharma","ALL","IPL","ALL",9999,4,18,15,2,2,1,120,7.5,33.3
"I Udana","ALL","CPL","ALL",9999,3,47,31,2,2,5,151.6,15.5,37.5
"I Udana","ALL","IPL","ALL",9999,4,15,11,3,1,1,136.4,3.7,55.6
"I Udana","ALL","T20","ALL",9999,22,253,177,13,16,14,142.9,13.6,71.4
"IA Cockbain","ALL","NTB","ALL",9999,68,2023,1475,53,177,71,137.2,27.8,72.5
"IA De Silva","ALL","T20","ALL",9999,8,151,167,8,14,5,90.4,20.9,43.9
"IA Karim","ALL","T20","ALL",9999,16,479,437,12,51,6,109.6,36.4,62.9
"IAA Thomas","ALL","NTB","ALL",9999,1,3,4,0,0,0,75,999,75
"Ibrahim Hassan","ALL","T20","ALL",9999,12,71,98,10,1,4,72.4,9.8,46.2
"Ibrahim Nashath","ALL","T20","ALL",9999,5,39,89,4,1,1,43.8,22.2,33.3
"Ibrahim Rizan","ALL","T20","ALL",9999,8,20,44,7,2,0,45.5,6.3,28.6
"Ibrahim Vhora","ALL","T20","ALL",9999,4,22,61,3,0,0,36.1,20.3,36.1
"Ibrahim Zadran","ALL","T20","ALL",9999,3,14,27,3,0,1,51.9,9,30.8
"Ibrarul Haq","ALL","T20","ALL",9999,4,2,7,3,0,0,28.6,2.3,28.6
"Ibtisam Sheikh","ALL","PSL","ALL",9999,1,2,7,1,0,0,28.6,7,28.6
"IDA Damarell","ALL","T20","ALL",9999,2,54,38,2,6,3,142.1,19,41.4
"IDGP Kisawa","ALL","T20","ALL",9999,2,0,2,1,0,0,0,2,0
"IDM Latin","ALL","T20","ALL",9999,2,19,26,2,1,0,73.1,13,60
"Idrees Ul Haque","ALL","T20","ALL",9999,3,79,48,3,7,6,164.6,16,42.9
"Iftikhar Ahmed","ALL","PSL","ALL",9999,30,450,388,23,34,17,116,16.9,62.9
"Iftikhar Ahmed","ALL","T20","ALL",9999,10,211,161,5,19,5,131.1,32.2,76.6
"IG Holland","ALL","NTB","ALL",9999,15,191,155,7,9,6,123.2,22.1,85
"IG Holland","ALL","T20","ALL",9999,2,5,12,1,0,0,41.7,12,41.7
"IGTR Kumara","ALL","T20","ALL",9999,1,3,12,1,0,0,25,12,25
"Ijaz Hussain","ALL","T20","ALL",9999,4,16,25,3,1,0,64,8.3,50
"IK Gamantika","ALL","T20","ALL",9999,4,47,63,4,3,1,74.6,15.8,49.2
"IK Pathan","ALL","IPL","ALL",9999,4,13,17,4,0,0,76.5,4.2,76.5
"IKO Aboagye","ALL","T20","ALL",9999,6,33,49,5,1,1,67.3,9.8,48.9
"Ilyas Ahmed","ALL","T20","ALL",9999,2,2,2,0,0,0,100,999,100
"Imad Wasim","ALL","BBL","ALL",9999,8,56,51,5,4,0,109.8,10.2,85.1
"Imad Wasim","ALL","CPL","ALL",9999,15,166,132,10,14,6,125.8,13.2,66.1
"Imad Wasim","ALL","NTB","ALL",9999,8,72,56,3,6,2,128.6,18.7,75
"Imad Wasim","ALL","PSL","ALL",9999,42,541,435,29,42,19,124.4,15,69.3
"Imad Wasim","ALL","T20","ALL",9999,32,280,196,25,30,6,142.9,7.8,77.5
"Imal Zuwak","ALL","T20","ALL",9999,3,10,26,2,0,0,38.5,13,38.5
"Imam-ul-Haq","ALL","PSL","ALL",9999,22,542,436,22,50,13,124.3,19.8,70.8
"Imam-ul-Haq","ALL","T20","ALL",9999,2,21,25,2,2,0,84,12.5,56.5
"Imran Ali","ALL","T20","ALL",9999,3,16,17,2,0,1,94.1,8.5,62.5
"Imran Ali Butt","ALL","T20","ALL",9999,6,62,77,6,4,2,80.5,12.8,47.9
"Imran Anwar","ALL","T20","ALL",9999,8,85,81,7,3,6,104.9,11.6,51.4
"Imran Arif","ALL","T20","ALL",9999,7,124,111,6,11,7,111.7,18.5,40.9
"Imran Ashraf","ALL","T20","ALL",9999,3,54,40,2,5,3,135,20,50
"Imran Azam","ALL","T20","ALL",9999,1,2,3,1,0,0,66.7,3,66.7
"Imran Bulbulia","ALL","T20","ALL",9999,5,49,70,5,5,0,70,14,44.6
"Imran Butt","ALL","T20","ALL",9999,1,12,6,1,1,1,200,6,50
"Imran Haider","ALL","T20","ALL",9999,3,5,9,0,0,0,55.6,999,55.6
"Imran Ismail","ALL","T20","ALL",9999,3,103,60,3,16,4,171.7,20,37.5
"Imran Khalid","ALL","PSL","ALL",9999,5,40,45,5,1,2,88.9,9,57.1
"Imran Khan (2)","ALL","PSL","ALL",9999,2,3,4,0,0,0,75,999,75
"Imran Khan (4)","ALL","T20","ALL",9999,2,37,27,1,2,3,137,27,50
"Imran Patel","ALL","T20","ALL",9999,1,7,3,0,1,0,233.3,999,150
"Imran Qayyum","ALL","NTB","ALL",9999,9,52,40,3,5,1,130,13.3,76.5
"Imran Tahir","ALL","CPL","ALL",9999,11,34,33,6,1,1,103,5.5,77.4
"Imran Tahir","ALL","IPL","ALL",9999,4,20,21,1,3,0,95.2,21,44.4
"Imran Tahir","ALL","NTB","ALL",9999,6,48,37,3,1,3,129.7,12.3,78.8
"Imran Tahir","ALL","PSL","ALL",9999,8,35,36,5,3,1,97.2,7.2,53.1
"Imran Tahir","ALL","T20","ALL",9999,2,2,7,1,0,0,28.6,7,28.6
"Imrul Kayes","ALL","T20","ALL",9999,8,85,88,8,9,2,96.6,11,48.1
"Inam-ul-Haq","ALL","T20","ALL",9999,10,223,211,10,21,4,105.7,21.1,61.8
"Inayat Saeed","ALL","T20","ALL",9999,5,44,59,4,3,0,74.6,14.8,57.1
"IO Okpe","ALL","T20","ALL",9999,13,177,196,12,9,3,90.3,16.3,66.8
"Iqbal Abdulla","ALL","IPL","ALL",9999,3,42,34,0,4,1,123.5,999,69
"Iqbal Hussain","ALL","T20","ALL",9999,10,93,71,5,9,2,131,14.2,75
"IR Bell","ALL","BBL","ALL",9999,9,231,184,7,19,6,125.5,26.3,74.8
"IR Bell","ALL","NTB","ALL",9999,40,1352,1040,36,137,35,130,28.9,68.4
"IR Bell","ALL","PSL","ALL",9999,1,54,46,1,6,0,117.4,46,75
"IR Jaggi","ALL","IPL","ALL",9999,2,33,39,1,3,0,84.6,39,58.3
"Irfan Hafejee","ALL","T20","ALL",9999,5,40,58,5,5,1,69,11.6,26.9
"IS Sodhi","ALL","BBL","ALL",9999,2,13,8,0,0,1,162.5,999,100
"IS Sodhi","ALL","CPL","ALL",9999,3,16,20,1,1,1,80,20,33.3
"IS Sodhi","ALL","IPL","ALL",9999,2,7,17,2,0,0,41.2,8.5,41.2
"IS Sodhi","ALL","NTB","ALL",9999,15,63,58,10,4,2,108.6,5.8,67.3
"IS Sodhi","ALL","T20","ALL",9999,10,78,73,6,4,5,106.8,12.2,50
"Ishan Kishan","ALL","IPL","ALL",9999,56,1453,1067,51,121,74,136.2,20.9,60.2
"Ishan Kishan","ALL","T20","ALL",9999,4,84,63,3,7,5,133.3,21,51
"Ismail Sardar","ALL","T20","ALL",9999,2,5,16,2,0,0,31.2,8,31.2
"Ismaila Tanba","ALL","T20","ALL",9999,2,23,28,2,2,0,82.1,14,57.7
"Izatullah Dawlatzai","ALL","T20","ALL",9999,1,24,10,0,2,2,240,999,66.7
"J Albin","ALL","T20","ALL",9999,5,67,86,3,8,0,77.9,28.7,44.9
"J Allenby","ALL","NTB","ALL",9999,24,484,428,23,52,9,113.1,18.6,60.5
"J Allenby","ALL","PSL","ALL",9999,2,38,40,2,5,0,95,20,51.4
"J Avendano","ALL","BBL","ALL",9999,9,150,134,9,12,7,111.9,14.9,52.2
"J Ayannike","ALL","T20","ALL",9999,1,0,3,1,0,0,0,3,0
"J Badjan","ALL","T20","ALL",9999,1,0,1,0,0,0,0,999,0
"J Balkrisna","ALL","T20","ALL",9999,2,24,33,1,0,0,72.7,33,72.7
"J Bangura","ALL","T20","ALL",9999,8,84,119,7,11,0,70.6,17,37
"J Barker","ALL","T20","ALL",9999,6,68,88,4,6,0,77.3,22,53.7
"J Batinibulu","ALL","T20","ALL",9999,3,6,13,3,0,0,46.2,4.3,46.2
"J Benjamin","ALL","T20","ALL",9999,5,36,29,5,5,1,124.1,5.8,43.5
"J Bishop","ALL","CPL","ALL",9999,3,43,35,0,2,3,122.9,999,56.7
"J Blackwood","ALL","CPL","ALL",9999,7,189,183,7,16,7,103.3,26.1,51.9
"J Botha","ALL","BBL","ALL",9999,20,247,200,13,19,5,123.5,15.4,80.1
"J Bulele","ALL","T20","ALL",9999,5,29,48,3,3,0,60.4,16,37.8
"J Butler","ALL","T20","ALL",9999,8,139,156,6,14,1,89.1,26,54.6
"J Charles","ALL","CPL","ALL",9999,60,1628,1295,59,157,67,125.7,21.9,55.8
"J Charles","ALL","PSL","ALL",9999,11,325,212,10,36,12,153.3,21.2,66.5
"J Charles","ALL","T20","ALL",9999,11,261,189,11,24,14,138.1,17.2,53.6
"J Clark","ALL","NTB","ALL",9999,41,648,478,26,31,31,135.6,18.4,81.2
"J Da Silva","ALL","CPL","ALL",9999,9,251,238,8,22,5,105.5,29.8,63
"J Dunn","ALL","T20","ALL",9999,9,111,121,8,11,2,91.7,15.1,50.9
"J Edwards","ALL","BBL","ALL",9999,18,247,243,18,26,1,101.6,13.5,63.4
"J Evans","ALL","T20","ALL",9999,7,128,127,6,7,5,100.8,21.2,60.9
"J Fraser-McGurk","ALL","BBL","ALL",9999,10,127,119,7,8,4,106.7,17,66.4
"J Ghadiyali","ALL","T20","ALL",9999,6,86,96,5,8,1,89.6,19.2,55.2
"J Glen","ALL","CPL","ALL",9999,11,133,111,8,9,9,119.8,13.9,46.2
"J Goodwin","ALL","NTB","ALL",9999,1,32,29,1,5,0,110.3,29,50
"J Grassi","ALL","T20","ALL",9999,4,58,63,4,2,2,92.1,15.8,64.4
"J Hansrod","ALL","T20","ALL",9999,7,51,87,7,4,1,58.6,12.4,35.4
"J Hazell","ALL","T20","ALL",9999,2,10,8,0,1,0,125,999,85.7
"J Henry","ALL","T20","ALL",9999,2,4,4,2,1,0,100,2,0
"J Hill","ALL","T20","ALL",9999,8,121,100,8,7,7,121,12.5,59.3
"J Jojo","ALL","T20","ALL",9999,6,44,30,2,1,2,146.7,15,103.7
"J Kida","ALL","T20","ALL",9999,4,26,55,4,3,1,47.3,13.8,15.7
"J Kila","ALL","T20","ALL",9999,10,150,80,6,13,10,187.5,13.3,66.7
"J Leach","ALL","NTB","ALL",9999,17,144,132,16,16,4,109.1,8.2,50
"J Little","ALL","T20","ALL",9999,12,53,70,8,4,1,75.7,8.8,47.7
"J Long","ALL","T20","ALL",9999,1,2,6,0,0,0,33.3,999,33.3
"J Marples","ALL","T20","ALL",9999,4,32,37,3,3,0,86.5,12.3,58.8
"J Mees","ALL","T20","ALL",9999,8,265,197,7,25,9,134.5,28.1,68.1
"J Merlo","ALL","BBL","ALL",9999,4,24,21,3,3,0,114.3,7,66.7
"J Morgan","ALL","BBL","ALL",9999,1,1,3,1,0,0,33.3,3,33.3
"J Mulder","ALL","T20","ALL",9999,3,6,11,2,0,0,54.5,5.5,54.5
"J Nyumbu","ALL","T20","ALL",9999,2,7,11,0,1,0,63.6,999,30
"J Overton","ALL","NTB","ALL",9999,28,321,195,22,24,19,164.6,8.9,73
"J Pakeman","ALL","T20","ALL",9999,1,4,12,1,0,0,33.3,12,33.3
"J Perman","ALL","T20","ALL",9999,4,43,37,3,3,3,116.2,12.3,41.9
"J Rasu","ALL","T20","ALL",9999,14,441,354,14,44,16,124.6,25.3,57.5
"J Reb","ALL","T20","ALL",9999,3,38,42,3,2,2,90.5,14,47.4
"J Roper","ALL","T20","ALL",9999,1,0,1,0,0,0,0,999,0
"J Royal","ALL","CPL","ALL",9999,6,23,19,2,2,1,121.1,9.5,56.2
"J Sebanja","ALL","T20","ALL",9999,3,23,35,3,1,0,65.7,11.7,55.9
"J Shaw","ALL","NTB","ALL",9999,2,2,3,1,0,0,66.7,3,66.7
"J Singye","ALL","T20","ALL",9999,5,79,83,4,7,0,95.2,20.8,67.1
"J Suchith","ALL","IPL","ALL",9999,2,20,21,1,2,1,95.2,21,33.3
"J Sumerauer","ALL","T20","ALL",9999,8,62,63,6,4,1,98.4,10.5,69
"J Theron","ALL","T20","ALL",9999,1,7,3,0,1,0,233.3,999,150
"J Valenikuila","ALL","T20","ALL",9999,1,0,6,1,0,0,0,6,0
"J Veikauyaki","ALL","T20","ALL",9999,6,54,58,6,4,3,93.1,9.7,39.2
"J Vira","ALL","T20","ALL",9999,12,119,106,8,9,3,112.3,13.2,69.1
"J Weatherald","ALL","BBL","ALL",9999,63,1670,1263,59,164,70,132.2,21.4,57.7
"J Weatherald","ALL","PSL","ALL",9999,5,148,118,5,16,7,125.4,23.6,44.2
"J Yadav","ALL","IPL","ALL",9999,4,42,38,4,2,1,110.5,9.5,80
"J Yamashita","ALL","T20","ALL",9999,5,40,37,3,1,2,108.1,12.3,70.6
"JA Brooks","ALL","NTB","ALL",9999,3,17,20,1,1,0,85,20,68.4
"JA Burns","ALL","BBL","ALL",9999,38,781,633,27,45,32,123.4,23.4,73.6
"JA Burns","ALL","NTB","ALL",9999,2,6,12,2,0,0,50,6,50
"JA Burrows","ALL","T20","ALL",9999,2,3,6,2,0,0,50,3,50
"JA Duffy","ALL","T20","ALL",9999,1,3,5,1,0,0,60,5,60
"JA Fitzgerald","ALL","T20","ALL",9999,8,77,60,5,1,5,128.3,12,79.6
"JA Foo","ALL","CPL","ALL",9999,10,112,78,8,8,6,143.6,9.8,68.8
"JA Haynes","ALL","NTB","ALL",9999,9,171,127,9,20,4,134.6,14.1,65
"JA Leaning","ALL","NTB","ALL",9999,49,1096,810,40,75,43,135.3,20.2,77.7
"JA Morkel","ALL","IPL","ALL",9999,1,16,9,1,0,2,177.8,9,57.1
"JA Porter","ALL","NTB","ALL",9999,5,5,7,1,0,0,71.4,7,71.4
"JA Prestwidge","ALL","BBL","ALL",9999,9,101,87,8,8,6,116.1,10.9,45.2
"JA Richardson","ALL","BBL","ALL",9999,22,216,153,10,15,11,141.2,15.3,70.9
"JA Richardson","ALL","IPL","ALL",9999,2,15,24,2,2,0,62.5,12,31.8
"JA Richardson","ALL","T20","ALL",9999,7,36,31,3,3,1,116.1,10.3,66.7
"JA Rudolph","ALL","NTB","ALL",9999,26,653,556,19,62,10,117.4,29.3,71.3
"JA Simpson","ALL","NTB","ALL",9999,72,1391,1049,61,81,63,132.6,17.2,76.1
"JA Tattersall","ALL","NTB","ALL",9999,24,355,286,16,29,3,124.1,17.9,87
"JA Thompson","ALL","NTB","ALL",9999,29,416,248,20,27,28,167.7,12.4,72.5
"James Bracey","ALL","NTB","ALL",9999,26,425,346,23,40,8,122.8,15,72.8
"Janak Prakash","ALL","T20","ALL",9999,16,158,131,11,9,6,120.6,11.9,74.1
"Jandu Hamoud","ALL","T20","ALL",9999,1,2,4,1,0,0,50,4,50
"Jannisar Khan","ALL","T20","ALL",9999,1,3,2,0,0,0,150,999,150
"JAR Harris","ALL","NTB","ALL",9999,4,26,33,2,2,0,78.8,16.5,58.1
"Jasdeep Singh","ALL","T20","ALL",9999,2,31,26,2,0,3,119.2,13,56.5
"Jaspreet Singh","ALL","T20","ALL",9999,8,84,68,7,3,6,123.5,9.7,61
"Jatinder Singh","ALL","T20","ALL",9999,22,673,540,18,72,12,124.6,30,68.6
"Javed Ahmadi","ALL","T20","ALL",9999,1,0,2,1,0,0,0,2,0
"Javed Maroofkhail","ALL","T20","ALL",9999,1,3,8,1,0,0,37.5,8,37.5
"Jawad Muhammad","ALL","T20","ALL",9999,1,2,4,1,0,0,50,4,50
"Jaweed Sadran","ALL","T20","ALL",9999,2,2,4,1,0,0,50,4,50
"Jay Odedra","ALL","T20","ALL",9999,1,6,6,0,0,0,100,999,100
"JB Cracknell","ALL","NTB","ALL",9999,15,404,288,15,51,8,140.3,19.2,66.4
"JB Lintott","ALL","CPL","ALL",9999,4,7,16,2,0,0,43.8,8,43.8
"JB Lintott","ALL","NTB","ALL",9999,10,79,71,7,6,3,111.3,10.1,59.7
"JB Reva","ALL","T20","ALL",9999,6,18,21,3,1,1,85.7,7,42.1
"JC Archer","ALL","BBL","ALL",9999,8,61,43,3,2,2,141.9,14.3,105.1
"JC Archer","ALL","IPL","ALL",9999,21,195,124,13,11,14,157.3,9.5,67.7
"JC Archer","ALL","NTB","ALL",9999,20,185,140,11,16,5,132.1,12.7,76.5
"JC Archer","ALL","PSL","ALL",9999,1,5,4,1,1,0,125,4,33.3
"JC Archer","ALL","T20","ALL",9999,2,19,10,1,2,1,190,10,71.4
"JC Buttler","ALL","BBL","ALL",9999,13,475,343,13,44,20,138.5,26.4,64.2
"JC Buttler","ALL","IPL","ALL",9999,64,1967,1315,57,194,90,149.6,23.1,63.1
"JC Buttler","ALL","NTB","ALL",9999,25,770,516,20,58,30,149.2,25.8,83.6
"JC Buttler","ALL","T20","ALL",9999,46,1577,1093,35,141,67,144.3,31.2,69
"JC Hildreth","ALL","NTB","ALL",9999,57,1296,948,49,122,40,136.7,19.3,72.3
"JC Silk","ALL","BBL","ALL",9999,46,1054,853,35,75,16,123.6,24.4,86.4
"JC Tongue","ALL","NTB","ALL",9999,2,3,2,0,0,0,150,999,150
"JC Tredwell","ALL","NTB","ALL",9999,12,50,70,7,1,0,71.4,10,66.7
"JC Wainman","ALL","NTB","ALL",9999,3,13,15,0,1,0,86.7,999,64.3
"JD Campbell","ALL","CPL","ALL",9999,3,49,55,3,4,1,89.1,18.3,54
"JD Campbell","ALL","T20","ALL",9999,2,11,16,2,2,0,68.8,8,21.4
"JD Cook","ALL","BBL","ALL",9999,5,20,21,2,1,0,95.2,10.5,80
"JD Freyone","ALL","T20","ALL",9999,6,20,62,6,0,0,32.3,10.3,32.3
"JD Libby","ALL","NTB","ALL",9999,36,1002,800,29,83,11,125.2,27.6,85.6
"JD Ryder","ALL","CPL","ALL",9999,5,69,78,5,8,0,88.5,15.6,52.9
"JD Ryder","ALL","NTB","ALL",9999,11,214,166,10,31,3,128.9,16.6,54.5
"JD Shantry","ALL","NTB","ALL",9999,5,18,16,2,1,1,112.5,8,57.1
"JD Unadkat","ALL","IPL","ALL",9999,12,102,87,8,9,3,117.2,10.9,64
"JD Wildermuth","ALL","BBL","ALL",9999,27,235,194,25,7,16,121.1,7.8,64.9
"JD Wildermuth","ALL","PSL","ALL",9999,2,16,17,1,1,0,94.1,17,75
"JD Wildermuth","ALL","T20","ALL",9999,1,1,1,0,0,0,100,999,100
"JDF Vandersay","ALL","T20","ALL",9999,4,15,17,1,2,0,88.2,17,46.7
"JDS Neesham","ALL","CPL","ALL",9999,7,75,59,4,10,1,127.1,14.8,60.4
"JDS Neesham","ALL","IPL","ALL",9999,5,19,20,4,0,1,95,5,68.4
"JDS Neesham","ALL","NTB","ALL",9999,32,590,445,26,47,19,132.6,17.1,76
"JDS Neesham","ALL","T20","ALL",9999,16,295,172,10,19,21,171.5,17.2,70.5
"JE Burke","ALL","NTB","ALL",9999,2,1,4,1,0,0,25,4,25
"JE Dunford","ALL","T20","ALL",9999,11,90,105,6,9,0,85.7,17.5,56.2
"JE Pitcher","ALL","T20","ALL",9999,1,5,4,0,0,0,125,999,125
"JE Poysden","ALL","NTB","ALL",9999,6,13,10,2,1,0,130,5,100
"JE Root","ALL","BBL","ALL",9999,6,93,81,6,11,0,114.8,13.5,70
"JE Root","ALL","NTB","ALL",9999,13,530,372,9,55,9,142.5,41.3,83.1
"JE Root","ALL","T20","ALL",9999,20,590,480,17,57,11,122.9,28.2,71.8
"JE Taylor","ALL","CPL","ALL",9999,6,38,31,2,1,3,122.6,15.5,59.3
"JE Taylor","ALL","NTB","ALL",9999,6,38,26,1,5,1,146.2,26,60
"JE Taylor","ALL","T20","ALL",9999,5,65,42,4,7,4,154.8,10.5,41.9
"JEC Franklin","ALL","NTB","ALL",9999,32,343,302,26,17,15,113.6,11.6,68.5
"JF Chester","ALL","T20","ALL",9999,3,0,6,1,0,0,0,6,0
"JG Bethell","ALL","NTB","ALL",9999,3,12,14,2,0,1,85.7,7,46.2
"JG Myburgh","ALL","NTB","ALL",9999,35,880,571,31,97,34,154.1,18.4,65.5
"JH Davey","ALL","NTB","ALL",9999,12,91,65,4,9,2,140,16.2,79.6
"JH Davey","ALL","T20","ALL",9999,11,91,69,6,6,4,131.9,11.5,72.9
"JH Kallis","ALL","BBL","ALL",9999,5,64,66,5,8,1,97,13.2,45.6
"JH Kiani","ALL","T20","ALL",9999,7,160,157,7,19,2,101.9,22.4,52.9
"JH Mensah","ALL","T20","ALL",9999,4,23,16,4,1,1,143.8,4,92.9
"JH Plom","ALL","NTB","ALL",9999,9,37,37,5,2,2,100,7.4,51.5
"JH Wharton","ALL","NTB","ALL",9999,2,12,19,2,1,0,63.2,9.5,44.4
"JHK Adams","ALL","NTB","ALL",9999,5,47,38,5,5,2,123.7,7.6,48.4
"Jiang Shu Yao","ALL","T20","ALL",9999,1,10,24,1,0,0,41.7,24,41.7
"Jiang Shuyao","ALL","T20","ALL",9999,1,21,32,1,3,0,65.6,32,31
"Jitin Singh","ALL","T20","ALL",9999,6,53,60,6,8,0,88.3,10,40.4
"Jiwon Choi","ALL","T20","ALL",9999,4,11,15,3,0,0,73.3,5,73.3
"JJ Atkinson","ALL","T20","ALL",9999,9,209,181,7,19,6,115.5,25.9,62.2
"JJ Bazley","ALL","BBL","ALL",9999,7,94,65,4,7,5,144.6,16.2,67.9
"JJ Bohannon","ALL","NTB","ALL",9999,13,112,111,9,10,0,100.9,12.3,71.3
"JJ Bumrah","ALL","IPL","ALL",9999,16,54,54,5,4,1,100,10.8,65.3
"JJ Bumrah","ALL","T20","ALL",9999,4,9,15,2,1,0,60,7.5,35.7
"JJ Cobb","ALL","NTB","ALL",9999,60,1621,1229,55,133,80,131.9,22.3,59.9
"JJ Huo","ALL","T20","ALL",9999,4,24,27,2,4,0,88.9,13.5,34.8
"JJ Peirson","ALL","BBL","ALL",9999,56,975,794,40,79,24,122.8,19.9,74.5
"JJ Roy","ALL","BBL","ALL",9999,22,509,389,21,61,13,130.8,18.5,59.4
"JJ Roy","ALL","IPL","ALL",9999,13,329,255,11,39,9,129,23.2,57.5
"JJ Roy","ALL","NTB","ALL",9999,40,1351,860,39,164,45,157.1,22.1,65.3
"JJ Roy","ALL","PSL","ALL",9999,15,459,356,13,51,15,128.9,27.4,56.9
"JJ Roy","ALL","T20","ALL",9999,47,1237,842,47,131,56,146.9,17.9,57.6
"JJ Smit","ALL","T20","ALL",9999,24,457,324,15,27,24,141,21.6,75.1
"JJ Tucker","ALL","T20","ALL",9999,5,94,97,4,11,1,96.9,24.2,51.8
"JJ Weatherley","ALL","NTB","ALL",9999,31,712,545,29,46,26,130.6,18.8,78.6
"JJ Wright","ALL","T20","ALL",9999,5,32,34,4,1,1,94.1,8.5,68.8
"JJS Sangha","ALL","BBL","ALL",9999,10,178,165,8,11,5,107.9,20.6,69.8
"JK Chandubhai","ALL","T20","ALL",9999,4,141,98,4,16,7,143.9,24.5,46.7
"JK Fuller","ALL","NTB","ALL",9999,50,747,524,34,42,35,142.6,15.4,82.6
"JK Lalor","ALL","BBL","ALL",9999,19,91,104,15,9,1,87.5,6.9,52.1
"JK Lalor","ALL","CPL","ALL",9999,3,24,20,0,1,1,120,999,77.8
"JK Vifah","ALL","T20","ALL",9999,14,229,208,13,21,5,110.1,16,63.2
"JKH Naik","ALL","NTB","ALL",9999,1,5,5,1,0,0,100,5,100
"JL Carter","ALL","CPL","ALL",9999,31,564,528,26,41,21,106.8,20.3,58.8
"JL Denly","ALL","BBL","ALL",9999,23,506,451,20,44,14,112.2,22.6,62.6
"JL Denly","ALL","IPL","ALL",9999,1,0,1,1,0,0,0,1,0
"JL Denly","ALL","NTB","ALL",9999,60,1719,1236,58,162,65,139.1,21.3,67.5
"JL Denly","ALL","PSL","ALL",9999,13,354,288,12,42,11,122.9,24,51.1
"JL Denly","ALL","T20","ALL",9999,7,105,89,5,13,1,118,17.8,62.7
"JL du Plooy","ALL","NTB","ALL",9999,32,845,633,25,63,27,133.5,25.3,79.4
"JL Jaggesar","ALL","CPL","ALL",9999,6,12,17,0,1,0,70.6,999,50
"JL Lambourdiere","ALL","T20","ALL",9999,3,39,54,3,3,0,72.2,18,52.9
"JL Lawlor","ALL","NTB","ALL",9999,5,60,53,5,6,1,113.2,10.6,65.2
"JL Martel","ALL","T20","ALL",9999,1,13,6,0,1,1,216.7,999,75
"JL Pattinson","ALL","BBL","ALL",9999,9,61,51,7,1,4,119.6,7.3,71.7
"JL Pattinson","ALL","IPL","ALL",9999,2,15,13,1,2,0,115.4,13,63.6
"JL Smith","ALL","NTB","ALL",9999,19,393,337,13,35,5,116.6,25.9,75.1
"JLB Davies","ALL","NTB","ALL",9999,4,48,45,4,2,0,106.7,11.2,93
"JM Bairstow","ALL","IPL","ALL",9999,28,1038,728,25,99,46,142.6,29.1,62.8
"JM Bairstow","ALL","NTB","ALL",9999,7,319,194,6,27,19,164.4,32.3,65.5
"JM Bairstow","ALL","PSL","ALL",9999,1,15,16,1,1,0,93.8,16,73.3
"JM Bairstow","ALL","T20","ALL",9999,42,1003,697,34,95,45,143.9,20.5,63.4
"JM Bird","ALL","BBL","ALL",9999,15,57,70,6,2,0,81.4,11.7,72.1
"JM Clarke","ALL","BBL","ALL",9999,3,44,24,3,2,4,183.3,8,66.7
"JM Clarke","ALL","NTB","ALL",9999,73,2031,1304,67,210,90,155.8,19.5,64.8
"JM Clarke","ALL","PSL","ALL",9999,4,121,70,4,14,7,172.9,17.5,46.9
"JM Cox","ALL","NTB","ALL",9999,23,498,375,15,36,12,132.8,25,86.2
"JM De Caires","ALL","NTB","ALL",9999,1,14,7,1,2,1,200,7,0
"JM Holland","ALL","BBL","ALL",9999,2,6,8,1,0,0,75,8,75
"JM James","ALL","CPL","ALL",9999,1,3,3,0,0,0,100,999,100
"JM Mennie","ALL","BBL","ALL",9999,3,9,13,2,0,0,69.2,6.5,69.2
"JM Vince","ALL","BBL","ALL",9999,44,1183,881,39,113,29,134.3,22.6,75.4
"JM Vince","ALL","NTB","ALL",9999,61,1769,1287,57,224,36,137.5,22.6,64
"JM Vince","ALL","PSL","ALL",9999,24,627,458,23,75,20,136.9,19.9,57
"JM Vince","ALL","T20","ALL",9999,9,215,170,9,22,5,126.5,18.9,67.8
"JMR Taylor","ALL","NTB","ALL",9999,58,1049,764,42,84,39,137.3,18.2,74.7
"JN Dorji","ALL","T20","ALL",9999,1,0,1,1,0,0,0,1,0
"JN Frylinck","ALL","T20","ALL",9999,22,260,199,12,20,5,130.7,16.6,86.2
"JN Hamilton","ALL","CPL","ALL",9999,4,20,33,4,0,1,60.6,8.2,43.8
"JN Loftie-Eaton","ALL","T20","ALL",9999,10,108,97,9,8,4,111.3,10.8,61.2
"JN Malan","ALL","T20","ALL",9999,11,241,186,11,25,11,129.6,16.9,50
"JN Mohammed","ALL","CPL","ALL",9999,36,730,675,27,48,26,108.1,25,63.6
"JN Mohammed","ALL","T20","ALL",9999,8,90,103,5,9,1,87.4,20.6,51.6
"JNK Shannon","ALL","T20","ALL",9999,7,109,81,7,12,5,134.6,11.6,48.4
"JNT Seales","ALL","CPL","ALL",9999,1,1,1,0,0,0,100,999,100
"JNT Vare","ALL","T20","ALL",9999,4,47,50,4,2,0,94,12.5,81.2
"JO Adedeji","ALL","T20","ALL",9999,17,349,398,14,28,10,87.7,28.4,49.2
