"batsman","pacespin","format","batting_team","year","matches","runs","balls","wickets","fours","sixes","sr","bpw","nbsr"
"DG Bedingham","ALL","ALL","ALL",9999,20,395,285,20,27,19,138.6,14.2,72.4
"DG Blampied","ALL","ALL","ALL",9999,15,169,183,8,6,0,92.3,22.9,81.9
"Dharmang Patel","ALL","ALL","ALL",9999,1,12,9,0,1,0,133.3,999,100
"DI Stevens","ALL","ALL","ALL",9999,34,467,349,29,41,18,133.8,12,67.2
"Dilbar Hussain","ALL","ALL","ALL",9999,2,15,20,0,0,1,75,999,47.4
"Dipanjan Dey","ALL","ALL","ALL",9999,5,124,93,3,8,3,133.3,31,90.2
"DJ Bell-Drummond","ALL","ALL","ALL",9999,72,2445,1710,66,254,58,143,25.9,77.3
"DJ Bravo","ALL","ALL","ALL",9999,149,2070,1581,106,125,113,130.9,14.9,66.4
"DJ Hawke","ALL","ALL","ALL",9999,1,7,14,1,0,0,50,14,50
"DJ Hooda","ALL","ALL","ALL",9999,52,635,515,38,35,27,123.3,13.6,73.5
"DJ Hussey","ALL","ALL","ALL",9999,11,189,140,10,17,6,135,14,72.6
"DJ Lamb","ALL","ALL","ALL",9999,16,171,154,8,14,4,111,19.2,66.9
"DJ Lincoln","ALL","ALL","ALL",9999,11,123,123,9,9,2,100,13.7,67
"DJ Malan","ALL","ALL","ALL",9999,111,3161,2389,99,327,103,132.3,24.1,63
"DJ Mitchell","ALL","ALL","ALL",9999,28,556,393,22,39,25,141.5,17.9,76
"DJ Vilas","ALL","ALL","ALL",9999,58,1047,812,49,74,27,128.9,16.6,82.8
"DJ Willey","ALL","ALL","ALL",9999,80,1735,1219,68,126,96,142.3,17.9,65.7
"DJ Worrall","ALL","ALL","ALL",9999,16,113,86,7,10,4,131.4,12.3,68.1
"DJG Sammy","ALL","ALL","ALL",9999,92,1434,1056,68,86,90,135.8,15.5,62.5
"DJM Short","ALL","ALL","ALL",9999,111,3666,2731,103,387,125,134.2,26.5,61.6
"DK Anefie","ALL","ALL","ALL",9999,6,57,49,3,3,2,116.3,16.3,75
"DK Dahani","ALL","ALL","ALL",9999,1,4,3,1,1,0,133.3,3,0
"DK Jacobs","ALL","ALL","ALL",9999,1,8,8,1,1,0,100,8,57.1
"DKD Warnakulasuriya","ALL","ALL","ALL",9999,1,2,6,0,0,0,33.3,999,33.3
"DKH Mitchell","ALL","ALL","ALL",9999,43,652,541,34,59,9,120.5,15.9,76.5
"DL Brangman","ALL","ALL","ALL",9999,3,23,25,2,2,1,92,12.5,40.9
"DL Chahar","ALL","ALL","ALL",9999,12,80,58,7,2,6,137.9,8.3,72
"DL Lloyd","ALL","ALL","ALL",9999,52,1348,1014,50,149,39,132.9,20.3,62.7
"DM Bess","ALL","ALL","ALL",9999,8,41,41,5,5,0,100,8.2,58.3
